Latitude,Longitude,CropType
44.23764463293388,-80.51050953546124,"Soybean"
44.23552873065883,-80.5063887447773,"Soybean"
44.22727556144215,-80.48406704646187,"Soybean"
44.222488340919284,-80.47723403757976,"Soybean"
44.21787524618722,-80.4702285801379,"Corn"
44.21600465702597,-80.4658077944103,"Corn"
44.215430426516384,-80.46339662810836,"Corn"
44.2147861884979,-80.45946712037133,"Wheat - Winter"
44.2122787279552,-80.45785903740224,"Soybean"
44.207448311820954,-80.43338699380517,"Wheat - Spring"
44.20715040396313,-80.43175828046108,"Wheat - Spring"
44.207910919634244,-80.43044996700479,"Wheat - Spring"
44.20838208310596,-80.43211045115515,"Wheat - Spring"
44.185682585896934,-80.39342548497719,"Soybean"
44.17871916463026,-80.37784894233437,"Corn"
44.17783713781125,-80.37631321650356,"Corn"
44.170334245452075,-80.36488355863465,"Potato"
44.162768244506346,-80.35157782364413,"Wheat - Spring"
44.15477151529569,-80.34011561605898,"Soybean"
44.154458642528795,-80.33827649978322,"Soybean"
44.14514162385296,-80.32232678253227,"Corn"
44.15502963872259,-80.30746158969914,"Canola / Rapeseed"
44.15626292134483,-80.30551280063638,"Canola / Rapeseed"
44.15613147765921,-80.3070271631028,"Canola / Rapeseed"
44.15556093375197,-80.30593226022833,"Canola / Rapeseed"
44.15429459690443,-80.3050941581521,"Canola / Rapeseed"
44.15564158116043,-80.30348034544254,"Canola / Rapeseed"
44.164407483733584,-80.2973733342299,"Soybean"
44.16603461196351,-80.29574154293144,"Soybean"
44.168174239676205,-80.29484061433052,"Soybean"
44.20736290790156,-80.26568849246391,"Corn"
44.20557745639648,-80.26442952258539,"Corn"
44.21175245658667,-80.24781854086501,"Corn"
44.21143278542565,-80.25074054959164,"Corn"
44.211557388590144,-80.24319890273622,"Corn"
44.212288387969295,-80.24070281546223,"Corn"
44.21803952194983,-80.21830337230291,"Potato"
44.220764967515954,-80.21845893566528,"Potato"
44.21903376909695,-80.2157150610256,"Potato"
44.20454468948888,-80.21894541350395,"Wheat - Winter"
44.19913800531343,-80.21808201043902,"Potato"
44.19944086692895,-80.21396884564528,"Potato"
44.177750127479904,-80.21204382752629,"Corn"
44.17507221653915,-80.21157567778168,"Corn"
44.167373772904185,-80.20917915633297,"Corn"
44.147765023569306,-80.20931179972213,"Wheat - Winter"
44.14524283627672,-80.20856886404805,"Corn"
44.144976411705436,-80.20594399412306,"Corn"
44.142905096078266,-80.20552654261539,"Corn"
44.13793934579233,-80.2023576897621,"Corn"
44.13251525554867,-80.19897882072935,"Corn"
44.13147414919593,-80.20081582730998,"Soybean"
44.123542438748984,-80.19891632921868,"Soybean"
44.11357512639387,-80.19474776142488,"Canola / Rapeseed"
44.11244851004076,-80.19419421087649,"Canola / Rapeseed"
44.11154566208193,-80.19583681350836,"Soybean"
44.09611136643478,-80.19228118136003,"Canola / Rapeseed"
44.096103665337736,-80.1931744521789,"Canola / Rapeseed"
44.06899106999856,-80.19649395682671,"Soybean"
44.06213825310226,-80.20254659977331,"Wheat - Winter"
