Latitude,Longitude,CropType,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12
46.4093541372549,-63.81903378431373,25,"Barley",74,55,41,24,20,19,18,15,14,5,1,5,4
46.409628647058824,-63.81930829411765,34,"Barley",75,55,41,23,20,18,17,15,14,5,1,6,4
46.409628647058824,-63.81903378431373,6,"Barley",75,56,41,24,20,19,17,15,14,5,1,5,4
46.409628647058824,-63.81875927450981,28,"Barley",74,55,41,23,20,18,17,15,14,5,1,5,4
46.409628647058824,-63.816563196078434,32,"Corn",74,55,42,24,20,19,18,15,15,5,1,5,4
46.409628647058824,-63.81628868627451,5,"Corn",74,55,42,24,20,18,18,15,14,5,1,6,4
46.409628647058824,-63.81601417647059,30,"Corn",74,56,42,24,20,19,17,15,14,5,1,5,4
46.40990315686275,-63.81628868627451,25,"Corn",74,55,42,24,20,18,17,15,14,5,1,5,4
46.41786394117647,-63.81711221568628,31,"Wheat - Winter",76,60,49,32,31,26,26,23,22,7,1,13,8
46.41813845098039,-63.81711221568628,10,"Wheat - Winter",76,57,46,28,22,20,19,16,15,6,1,8,6
46.41813845098039,-63.81683770588236,21,"Wheat - Winter",76,60,48,31,29,25,26,22,23,6,1,13,10
46.418412960784316,-63.81711221568628,33,"Wheat - Winter",76,57,45,26,22,19,18,15,16,6,1,7,5
46.419511,-63.755073,28,"Wheat - Winter",75,59,67,33,84,239,245,244,247,107,1,128,49
46.41978550980392,-63.755073,10,"Wheat - Winter",75,59,67,34,83,240,245,244,247,107,1,128,49
46.42060903921569,-63.756994568627455,30,"Potato",75,59,68,32,83,240,246,245,247,106,1,128,49
46.420883549019614,-63.75726907843138,26,"Potato",75,59,67,32,83,240,246,245,247,106,1,128,48
46.420883549019614,-63.756994568627455,5,"Potato",75,59,66,32,84,240,246,244,247,106,1,128,49
46.420883549019614,-63.75672005882353,35,"Potato",75,58,67,32,85,240,246,245,247,107,1,128,49
46.42115805882353,-63.756994568627455,32,"Potato",74,58,68,32,82,240,245,245,247,103,1,127,48
46.42143256862745,-63.765504372549024,25,"Potato",79,67,63,64,71,131,159,90,143,42,1,84,52
