Latitude,Longitude,Distance,CropType,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12
42.917932588235296,-81.55949541176471,13,"Soybean",92,78,73,82,94,124,144,140,164,40,2,209,132
42.917932588235296,-81.55922090196078,22,"Soybean",92,78,73,85,96,125,144,138,166,40,2,213,133
42.91820709803922,-81.55949541176471,24,"Soybean",92,78,74,85,96,124,145,141,164,40,2,210,133
42.91820709803922,-81.55922090196078,30,"Soybean",92,78,74,87,97,124,147,139,166,40,2,214,134
42.918756117647064,-81.56333854901962,24,"Soybean",83,62,54,34,50,171,236,235,238,55,2,101,42
42.918756117647064,-81.56306403921569,14,"Soybean",86,61,53,34,49,170,236,236,238,49,2,101,42
42.91903062745099,-81.56333854901962,29,"Soybean",84,63,60,36,57,178,235,232,237,53,2,102,43
42.91903062745099,-81.56306403921569,21,"Soybean",84,61,54,34,52,173,236,235,237,54,2,100,43
42.92012866666667,-81.56882874509805,13,"Corn",94,77,75,71,94,144,173,176,191,45,2,181,111
42.92012866666667,-81.56855423529413,20,"Corn",94,78,74,77,96,138,160,149,177,45,2,190,119
42.92012866666667,-81.55098560784315,28,"Corn",91,83,81,100,111,143,174,162,193,44,2,224,141
42.92012866666667,-81.55071109803923,19,"Corn",91,82,79,95,95,136,160,159,181,44,2,182,111
42.92040317647059,-81.56882874509805,27,"Corn",94,79,78,79,101,146,170,161,189,45,2,192,117
42.92040317647059,-81.56855423529413,31,"Corn",94,77,74,73,96,143,168,161,184,45,2,191,115
42.92040317647059,-81.55098560784315,26,"Corn",88,74,70,75,74,134,158,134,182,50,2,148,83
42.92040317647059,-81.55071109803923,16,"Corn",88,61,50,33,52,152,216,165,235,50,2,118,52
42.9217757254902,-81.57294639215687,24,"Corn",84,66,61,38,60,216,239,237,241,63,2,128,54
42.9217757254902,-81.57267188235295,11,"Corn",84,65,59,37,59,202,238,236,240,62,2,122,50
42.92205023529412,-81.57514247058825,29,"Soybean",82,61,54,33,58,191,236,235,238,60,2,126,48
42.92205023529412,-81.57294639215687,32,"Corn",84,64,57,34,62,234,241,240,242,63,2,134,58
42.92205023529412,-81.57267188235295,24,"Corn",84,64,57,34,62,228,241,241,243,62,2,136,56
42.922324745098045,-81.57541698039216,24,"Soybean",82,60,51,31,55,194,237,235,240,61,2,126,47
42.922324745098045,-81.57514247058825,7,"Soybean",82,62,52,31,57,202,238,237,240,61,2,131,52
42.92259925490197,-81.57514247058825,34,"Soybean",82,62,52,32,56,198,237,238,239,61,2,129,53
42.92369729411765,-81.57267188235295,30,"Corn",88,68,63,44,64,180,236,231,238,53,2,117,53
42.92369729411765,-81.57239737254902,16,"Corn",88,66,59,42,55,174,236,235,237,53,2,114,55
42.923971803921575,-81.57267188235295,30,"Corn",84,61,52,32,48,168,236,236,238,56,2,97,40
42.923971803921575,-81.57239737254902,16,"Corn",84,62,53,34,48,170,236,235,238,56,2,98,40
42.92506984313726,-81.57514247058825,33,"Corn",83,61,52,33,47,171,237,236,238,57,2,97,37
42.92534435294118,-81.57514247058825,9,"Corn",83,62,52,32,46,175,238,237,239,57,2,96,36
42.92534435294118,-81.57486796078432,21,"Corn",83,61,52,32,46,172,237,236,239,57,2,95,36
42.925618862745104,-81.58173070588236,14,"Corn",85,67,62,45,72,154,186,181,214,50,2,162,78
42.925618862745104,-81.58145619607843,19,"Corn",85,68,62,47,74,169,206,181,223,53,2,156,74
42.925618862745104,-81.57514247058825,31,"Corn",83,62,54,33,48,178,238,236,239,57,2,95,36
42.92589337254903,-81.58173070588236,28,"Corn",85,66,64,43,76,184,224,211,235,50,2,147,67
42.92589337254903,-81.58145619607843,31,"Corn",85,65,62,42,74,174,221,210,235,53,2,141,63
42.92616788235294,-81.57788756862746,23,"Corn",83,61,54,31,56,235,241,242,244,69,2,137,56
42.92616788235294,-81.57761305882353,15,"Corn",83,62,54,30,57,228,241,242,242,69,2,134,56
42.926442392156865,-81.57788756862746,28,"Corn",83,62,56,34,57,232,241,239,242,69,2,135,55
42.926442392156865,-81.57761305882353,22,"Corn",83,62,55,34,57,225,240,239,242,69,2,134,56
42.92699141176471,-81.5861228627451,28,"Corn",84,64,56,35,55,180,237,235,238,53,2,104,44
42.92699141176471,-81.58584835294118,25,"Corn",83,63,57,36,50,166,228,235,236,53,2,97,39
42.92726592156863,-81.5861228627451,20,"Corn",83,59,49,30,50,162,220,180,235,54,2,95,37
42.92726592156863,-81.58584835294118,15,"Corn",82,61,49,31,51,167,228,196,235,56,2,102,39
42.93056003921569,-81.5885934509804,30,"Corn",84,63,56,35,52,190,238,237,239,58,2,105,40
42.93056003921569,-81.58831894117648,35,"Corn",84,63,56,35,53,191,238,237,239,58,2,104,40
42.930834549019615,-81.5885934509804,11,"Corn",84,63,56,35,53,189,237,235,238,58,2,107,42
42.930834549019615,-81.58831894117648,20,"Corn",84,63,56,35,53,192,238,236,239,58,2,104,39
42.93110905882353,-81.5885934509804,34,"Corn",84,63,56,35,54,192,237,237,239,59,2,105,42
42.954442392156864,-81.52545619607844,30,"Corn",89,77,72,79,91,156,197,151,210,51,1,199,120
42.954716901960786,-81.52545619607844,6,"Corn",89,82,80,93,103,143,163,160,184,51,1,212,136
42.954716901960786,-81.52518168627452,25,"Corn",89,83,79,92,99,159,191,163,212,51,1,200,122
42.95499141176471,-81.52545619607844,32,"Corn",92,75,71,73,89,128,149,142,164,38,1,196,125
42.978599254901965,-81.52133854901962,17,"Wheat - Winter",94,79,76,86,105,134,158,147,178,41,1,220,139
42.978599254901965,-81.5210640392157,28,"Wheat - Winter",93,79,76,86,103,133,155,148,176,44,1,216,135
42.97887376470589,-81.52133854901962,17,"Wheat - Winter",94,86,85,103,117,151,176,166,191,41,1,235,157
42.97887376470589,-81.5210640392157,28,"Wheat - Winter",93,84,83,99,115,149,173,163,190,44,1,232,150
42.9816188627451,-81.52133854901962,29,"Corn",86,68,65,47,76,186,224,216,237,51,1,151,70
42.9816188627451,-81.5210640392157,30,"Corn",87,67,65,47,79,184,229,227,236,53,1,160,69
42.981893372549024,-81.52133854901962,15,"Corn",85,67,62,43,70,163,210,205,232,53,1,138,57
42.981893372549024,-81.5210640392157,17,"Corn",86,68,64,45,74,180,227,217,236,53,1,146,61
42.98244239215687,-81.52682874509804,19,"Wheat - Winter",84,64,56,36,58,214,239,238,241,60,1,131,55
