Latitude,Longitude,CropType,B02,B08,B11
42.917932588235296,-81.55949541176471,13,"Soybean",82,73,78
42.917932588235296,-81.55922090196078,22,"Soybean",85,73,78
42.91820709803922,-81.55949541176471,24,"Soybean",85,74,78
42.91820709803922,-81.55922090196078,30,"Soybean",87,74,78
42.918756117647064,-81.56333854901962,24,"Soybean",34,54,62
42.918756117647064,-81.56306403921569,14,"Soybean",34,53,61
42.91903062745099,-81.56333854901962,29,"Soybean",36,60,63
42.91903062745099,-81.56306403921569,21,"Soybean",34,54,61
42.92012866666667,-81.56882874509805,13,"Corn",71,75,77
42.92012866666667,-81.56855423529413,20,"Corn",77,74,78
42.92012866666667,-81.55098560784315,28,"Corn",100,81,83
42.92012866666667,-81.55071109803923,19,"Corn",95,79,82
42.92040317647059,-81.56882874509805,27,"Corn",79,78,79
42.92040317647059,-81.56855423529413,31,"Corn",73,74,77
42.92040317647059,-81.55098560784315,26,"Corn",75,70,74
42.92040317647059,-81.55071109803923,16,"Corn",33,50,61
42.9217757254902,-81.57294639215687,24,"Corn",38,61,66
42.9217757254902,-81.57267188235295,11,"Corn",37,59,65
42.92205023529412,-81.57514247058825,29,"Soybean",33,54,61
42.92205023529412,-81.57294639215687,32,"Corn",34,57,64
42.92205023529412,-81.57267188235295,24,"Corn",34,57,64
42.922324745098045,-81.57541698039216,24,"Soybean",31,51,60
42.922324745098045,-81.57514247058825,7,"Soybean",31,52,62
42.92259925490197,-81.57514247058825,34,"Soybean",32,52,62
42.92369729411765,-81.57267188235295,30,"Corn",44,63,68
42.92369729411765,-81.57239737254902,16,"Corn",42,59,66
42.923971803921575,-81.57267188235295,30,"Corn",32,52,61
42.923971803921575,-81.57239737254902,16,"Corn",34,53,62
42.92506984313726,-81.57514247058825,33,"Corn",33,52,61
42.92534435294118,-81.57514247058825,9,"Corn",32,52,62
42.92534435294118,-81.57486796078432,21,"Corn",32,52,61
42.925618862745104,-81.58173070588236,14,"Corn",45,62,67
42.925618862745104,-81.58145619607843,19,"Corn",47,62,68
42.925618862745104,-81.57514247058825,31,"Corn",33,54,62
42.92589337254903,-81.58173070588236,28,"Corn",43,64,66
42.92589337254903,-81.58145619607843,31,"Corn",42,62,65
42.92616788235294,-81.57788756862746,23,"Corn",31,54,61
42.92616788235294,-81.57761305882353,15,"Corn",30,54,62
42.926442392156865,-81.57788756862746,28,"Corn",34,56,62
42.926442392156865,-81.57761305882353,22,"Corn",34,55,62
42.92699141176471,-81.5861228627451,28,"Corn",35,56,64
42.92699141176471,-81.58584835294118,25,"Corn",36,57,63
42.92726592156863,-81.5861228627451,20,"Corn",30,49,59
42.92726592156863,-81.58584835294118,15,"Corn",31,49,61
42.93056003921569,-81.5885934509804,30,"Corn",35,56,63
42.93056003921569,-81.58831894117648,35,"Corn",35,56,63
42.930834549019615,-81.5885934509804,11,"Corn",35,56,63
42.930834549019615,-81.58831894117648,20,"Corn",35,56,63
42.93110905882353,-81.5885934509804,34,"Corn",35,56,63
42.954442392156864,-81.52545619607844,30,"Corn",79,72,77
42.954716901960786,-81.52545619607844,6,"Corn",93,80,82
42.954716901960786,-81.52518168627452,25,"Corn",92,79,83
42.95499141176471,-81.52545619607844,32,"Corn",73,71,75
42.978599254901965,-81.52133854901962,17,"Wheat - Winter",86,76,79
42.978599254901965,-81.5210640392157,28,"Wheat - Winter",86,76,79
42.97887376470589,-81.52133854901962,17,"Wheat - Winter",103,85,86
42.97887376470589,-81.5210640392157,28,"Wheat - Winter",99,83,84
42.9816188627451,-81.52133854901962,29,"Corn",47,65,68
42.9816188627451,-81.5210640392157,30,"Corn",47,65,67
42.981893372549024,-81.52133854901962,15,"Corn",43,62,67
42.981893372549024,-81.5210640392157,17,"Corn",45,64,68
42.98244239215687,-81.52682874509804,19,"Wheat - Winter",36,56,64
42.98244239215687,-81.52655423529413,19,"Wheat - Winter",35,54,62
42.982716901960785,-81.52682874509804,24,"Wheat - Winter",32,54,62
42.982716901960785,-81.52655423529413,25,"Wheat - Winter",35,55,63
42.982716901960785,-81.52326011764707,29,"Wheat - Winter",47,70,69
42.98299141176471,-81.52353462745099,29,"Wheat - Winter",110,86,86
42.98299141176471,-81.52326011764707,2,"Wheat - Winter",88,78,79
42.98299141176471,-81.52298560784315,32,"Wheat - Winter",60,72,72
42.98326592156863,-81.52326011764707,32,"Wheat - Winter",98,82,81
42.98518749019608,-81.52627972549021,27,"Wheat - Winter",79,72,75
42.98518749019608,-81.52600521568628,18,"Wheat - Winter",105,86,86
42.985462000000005,-81.52627972549021,26,"Wheat - Winter",38,55,62
42.985462000000005,-81.52600521568628,17,"Wheat - Winter",82,74,76
42.98573650980393,-81.53149541176471,28,"Wheat - Winter",31,51,61
42.98573650980393,-81.5312209019608,34,"Wheat - Winter",32,51,61
42.986011019607844,-81.53149541176471,10,"Wheat - Winter",31,52,61
42.986011019607844,-81.5312209019608,22,"Wheat - Winter",32,52,61
42.98683454901961,-81.52682874509804,31,"Soybean",32,53,62
42.98683454901961,-81.52655423529413,34,"Soybean",33,54,62
42.987109058823535,-81.52682874509804,13,"Soybean",31,53,61
42.987109058823535,-81.52655423529413,18,"Soybean",32,53,61
42.98738356862746,-81.52847580392158,18,"Soybean",31,54,61
42.98738356862746,-81.52820129411765,35,"Soybean",32,53,62
42.98738356862746,-81.52682874509804,35,"Soybean",32,53,61
42.98765807843137,-81.53424050980394,14,"Corn",32,52,61
42.98765807843137,-81.533966,32,"Corn",32,52,61
42.98765807843137,-81.53039737254903,33,"Soybean",32,53,61
42.98765807843137,-81.5301228627451,28,"Soybean",32,52,61
42.98765807843137,-81.5287503137255,34,"Soybean",32,53,61
42.98765807843137,-81.52847580392158,13,"Soybean",32,53,61
42.98765807843137,-81.52820129411765,33,"Soybean",32,53,62
42.987932588235296,-81.53424050980394,17,"Corn",32,51,61
42.987932588235296,-81.533966,33,"Corn",32,52,61
42.987932588235296,-81.53039737254903,21,"Soybean",32,53,62
42.987932588235296,-81.5301228627451,11,"Soybean",33,53,62
42.99671690196079,-81.54137776470589,24,"Corn",90,83,84
42.99671690196079,-81.54110325490197,16,"Corn",85,81,83
42.99699141176471,-81.54137776470589,28,"Corn",99,89,89
42.99699141176471,-81.54110325490197,21,"Corn",95,88,86
42.99863847058824,-81.54412286274511,32,"Wheat - Winter",31,53,61
42.99891298039216,-81.54439737254903,21,"Wheat - Winter",32,54,62
42.99891298039216,-81.54412286274511,9,"Wheat - Winter",31,53,61
42.999187490196086,-81.54412286274511,32,"Wheat - Winter",31,54,62
43.00110905882353,-81.547966,28,"Soybean",30,53,61
43.00110905882353,-81.54769149019609,29,"Soybean",30,53,61
43.00138356862745,-81.547966,16,"Soybean",30,53,60
43.00138356862745,-81.54769149019609,17,"Soybean",30,53,60
43.00220709803922,-81.58420129411765,28,"Soybean",33,56,63
43.002481607843144,-81.58804443137255,34,"Soybean",32,54,61
43.002481607843144,-81.58776992156864,24,"Soybean",32,56,62
43.002481607843144,-81.58447580392158,31,"Soybean",34,56,64
43.002481607843144,-81.58420129411765,2,"Soybean",33,55,62
43.002481607843144,-81.58392678431373,31,"Soybean",33,57,63
43.002481607843144,-81.56800521568628,22,"Corn",32,55,62
43.002481607843144,-81.56773070588235,12,"Corn",30,53,61
43.00275611764706,-81.58804443137255,25,"Soybean",36,55,63
43.00275611764706,-81.58776992156864,10,"Soybean",33,55,62
43.00275611764706,-81.58420129411765,33,"Soybean",34,56,63
43.00275611764706,-81.56800521568628,31,"Corn",31,51,60
43.00275611764706,-81.56773070588235,25,"Corn",30,51,60
43.003305137254905,-81.57184835294119,14,"Wheat - Winter",33,56,61
43.003305137254905,-81.57157384313726,18,"Wheat - Winter",32,55,62
43.003305137254905,-81.56416207843138,18,"Corn",43,58,68
43.003305137254905,-81.56388756862746,27,"Corn",41,57,65
43.003305137254905,-81.55949541176471,31,"Wheat - Winter",32,58,63
43.00357964705883,-81.57514247058825,25,"Corn",33,61,63
43.00357964705883,-81.57486796078432,8,"Corn",33,62,64
43.00357964705883,-81.57184835294119,30,"Wheat - Winter",32,55,62
43.00357964705883,-81.57157384313726,32,"Wheat - Winter",32,54,61
43.00357964705883,-81.56416207843138,17,"Corn",31,57,63
43.00357964705883,-81.56388756862746,27,"Corn",32,56,62
43.00357964705883,-81.55976992156863,25,"Wheat - Winter",33,54,61
43.00357964705883,-81.55949541176471,6,"Wheat - Winter",31,54,61
43.00385415686275,-81.57486796078432,26,"Corn",35,62,64
43.00385415686275,-81.55949541176471,31,"Wheat - Winter",40,57,66
43.00550121568628,-81.55976992156863,33,"Soybean",31,56,62
43.00550121568628,-81.55949541176471,29,"Soybean",32,55,61
43.0057757254902,-81.55976992156863,19,"Soybean",32,58,62
43.0057757254902,-81.55949541176471,13,"Soybean",33,58,63
43.00605023529412,-81.58310325490197,21,"Corn",31,52,61
43.00605023529412,-81.58282874509804,22,"Corn",32,54,62
43.00605023529412,-81.56635815686275,18,"Wheat - Winter",31,53,60
43.00605023529412,-81.56608364705883,20,"Wheat - Winter",31,53,60
43.00632474509804,-81.58310325490197,21,"Corn",33,54,62
43.00632474509804,-81.58282874509804,23,"Corn",33,54,62
43.00632474509804,-81.57294639215687,32,"Wheat - Winter",35,61,63
43.00632474509804,-81.56937776470589,9,"Wheat - Winter",28,49,59
43.00632474509804,-81.56910325490196,24,"Wheat - Winter",29,49,59
43.00632474509804,-81.56635815686275,24,"Wheat - Winter",32,56,61
43.00632474509804,-81.56608364705883,26,"Wheat - Winter",30,53,60
43.006599254901964,-81.5732209019608,27,"Wheat - Winter",33,54,61
