Latitude,Longitude,CropType,B02,B08,B11
45.9635504853229,-62.67745374363992,78,"Soybean",4,12,50
45.9635504853229,-62.67462006066536,79,"Soybean",4,12,51
45.9635504853229,-62.657617962818,60,"Soybean",5,13,50
45.96473470058709,-62.67745374363992,70,"Soybean",4,13,51
45.96473470058709,-62.67462006066536,90,"Soybean",4,12,50
45.96473470058709,-62.657617962818,90,"Soybean",5,13,51
45.96473470058709,-62.64486638943249,57,"Timothy",5,13,50
45.96473470058709,-62.642032706457925,76,"Soybean",5,13,50
45.96473470058709,-62.64061586497065,92,"Soybean",5,13,50
45.96591891585127,-62.657617962818,30,"Soybean",4,12,50
45.96591891585127,-62.64486638943249,86,"Timothy",4,13,50
45.96591891585127,-62.63778218199609,55,"Soybean",5,13,50
45.96591891585127,-62.63069797455969,69,"Vineyard (Grape)",5,13,50
45.96591891585127,-62.62786429158513,71,"Soybean",4,12,50
45.96591891585127,-62.62644745009785,98,"Soybean",5,12,50
45.96591891585127,-62.625030608610565,78,"Soybean",4,12,50
45.96591891585127,-62.61369587671233,82,"Wheat - Winter",5,13,50
45.96710313111546,-62.642032706457925,41,"Soybean",5,13,50
45.96710313111546,-62.64061586497065,40,"Sorghum",5,13,51
45.96710313111546,-62.632114816046965,16,"Vineyard (Grape)",4,12,50
45.96710313111546,-62.63069797455969,64,"Vineyard (Grape)",4,12,50
45.96710313111546,-62.62786429158513,67,"Soybean",5,13,50
45.96710313111546,-62.62644745009785,93,"Barley",5,13,51
45.96710313111546,-62.61369587671233,76,"Wheat - Winter",5,13,51
45.96710313111546,-62.60944535225049,99,"Abandoned Agricultural Land",5,13,50
45.96710313111546,-62.60519482778865,58,"Timothy",6,14,50
45.96710313111546,-62.59669377886497,38,"Timothy",155,196,70
45.96710313111546,-62.58252536399217,67,"Soybean",141,243,59
45.96710313111546,-62.57119063209393,96,"Soybean",112,160,59
45.96828734637965,-62.642032706457925,95,"Soybean",6,14,51
45.96828734637965,-62.634948499021526,92,"Barley",5,13,51
45.96828734637965,-62.63353165753425,70,"Barley",5,13,51
