Longitude,Latitude,R,G,B
-61.9691,45.89,4,10,51
-61.9690997372549,45.89,4,10,51
-61.969099474509804,45.89,4,10,51
-61.9690992117647,45.89,4,10,51
-61.9690989490196,45.89,4,10,51
-61.969098686274506,45.89,4,10,51
-61.96909842352941,45.89,4,10,51
-61.96909816078431,45.89,4,10,51
-61.969097898039216,45.89,4,10,51
-61.96909763529411,45.89,4,10,51
-61.969097372549015,45.89,4,10,51
-61.96909710980392,45.89,4,10,51
-61.96909684705882,45.89,4,10,51
-61.969096584313725,45.89,4,10,51
-61.96909632156863,45.89,4,10,51
-61.969096058823524,45.89,4,10,51
-61.96909579607843,45.89,4,10,51
-61.96909553333333,45.89,4,10,51
-61.969095270588234,45.89,4,10,51
-61.96909500784314,45.89,4,10,51
-61.96909474509804,45.89,4,10,51
-61.969094482352936,45.89,4,10,51
-61.96909421960784,45.89,4,10,51
-61.96909395686274,45.89,4,10,51
-61.969093694117646,45.89,4,10,51
-61.96909343137255,45.89,4,10,51
-61.96909316862745,45.89,4,10,51
-61.96909290588235,45.89,4,10,51
-61.96909264313725,45.89,4,10,51
-61.969092380392155,45.89,4,10,51
-61.96909211764706,45.89,4,10,51
-61.96909185490196,45.89,4,10,51
-61.96909159215686,45.89,4,10,51
-61.96909132941176,45.89,4,10,51
-61.969091066666664,45.89,4,10,51
-61.96909080392157,45.89,4,10,51
-61.96909054117647,45.89,4,10,51
-61.96909027843137,45.89,4,10,51
-61.96909001568627,45.89,4,10,51
-61.96908975294117,45.89,4,10,51
-61.969089490196076,45.89,4,10,51
-61.96908922745098,45.89,4,10,51
-61.96908896470588,45.89,4,10,51
-61.969088701960786,45.89,4,10,51
-61.96908843921568,45.89,4,10,51
-61.969088176470585,45.89,4,10,51
-61.96908791372549,45.89,4,10,51
-61.96908765098039,45.89,4,10,51
-61.969087388235295,45.89,4,10,51
-61.9690871254902,45.89,4,10,51
-61.969086862745094,45.89,4,10,51
-61.9690866,45.89,4,10,51
-61.9690863372549,45.89,4,10,51
-61.9690860745098,45.89,4,10,51
-61.96908581176471,45.89,4,10,51
-61.96908554901961,45.89,4,10,51
-61.969085286274506,45.89,4,10,51
-61.96908502352941,45.89,4,10,51
-61.96908476078431,45.89,4,10,51
-61.969084498039216,45.89,4,10,51
-61.96908423529412,45.89,4,10,51
-61.969083972549015,45.89,4,10,51
-61.96908370980392,45.89,4,10,51
-61.96908344705882,45.89,4,10,51
-61.969083184313725,45.89,4,10,51
-61.96908292156863,45.89,4,10,51
-61.96908265882353,45.89,4,10,51
-61.96908239607843,45.89,4,10,51
-61.96908213333333,45.89,4,10,51
-61.969081870588234,45.89,4,10,51
-61.96908160784314,45.89,4,10,51
-61.96908134509804,45.89,4,10,51
-61.96908108235294,45.89,4,10,51
-61.96908081960784,45.89,4,10,51
-61.96908055686274,45.89,4,10,51
-61.969080294117646,45.89,4,10,51
-61.96908003137255,45.89,4,10,51
-61.96907976862745,45.89,4,10,51
-61.969079505882355,45.89,4,10,51
-61.96907924313725,45.89,4,10,51
-61.969078980392155,45.89,4,10,51
-61.96907871764706,45.89,4,10,51
-61.96907845490196,45.89,4,10,51
-61.969078192156864,45.89,4,10,51
-61.96907792941177,45.89,4,10,51
-61.969077666666664,45.89,4,10,51
-61.96907740392157,45.89,4,10,51
